State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield,Yield_Index,is_outlier
Dadra and Nagar Haveli,Dadra And Nagar Haveli District C,2015,Whole Year,Sugarcane,25782.77,4811360.01,186.61144671422036,3.040050643050341,1
Maharashtra,Maharashtra District B,2015,Rabi,Rapeseed &Mustard,129982.57,55357.55,0.4258844089634479,0.5347357475852842,0
Uttarakhand,Uttarakhand District A,2015,Rabi,Rapeseed &Mustard,34408.94,22822.53,0.6632732656106232,0.8327985671108937,0
Punjab,Punjab District D,2015,Rabi,Gram,22382.08,23912.54,1.0683788101910099,1.2345280414719997,0
Jammu and Kashmir,Jammu And Kashmir District E,2015,Rabi,Bajra,25033.36,29566.96,1.1811023370414517,0.9773619914412619,0
Chhattisgarh,Chhattisgarh District A,2015,Kharif,Rapeseed &Mustard,8339.43,3138.74,0.37637344518750077,0.4725703297602064,0
Rajasthan,Rajasthan District A,2015,Autumn,Gram,61687.75,37408.55,0.6064178058042319,0.7007250415041463,0
Uttar Pradesh,Uttar Pradesh District D,2015,Whole Year,Sugarcane,9628.66,445226.35,46.23970002056361,0.7532819248609218,0
Madhya Pradesh,Madhya Pradesh District B,2015,Winter,Gram,2655.7,1752.47,0.6598900478216667,0.7625130342846269,0
Rajasthan,Rajasthan District A,2015,Kharif,Rapeseed &Mustard,20219.85,10344.69,0.5116106202568269,0.6423726291400474,0
Arunachal Pradesh,Arunachal Pradesh District C,2015,Kharif,Peas & beans (Pulses),2227.9,1275.95,0.5727142151802146,0.5840002531731839,0
Andhra Pradesh,Andhra Pradesh District D,2015,Winter,Arhar/Tur,11873.42,9471.36,0.797694345858228,0.9995822845328102,0
Odisha,Odisha District C,2015,Kharif,Small millets,1051.59,259.55,0.24681672514953548,0.3920609115454696,0
Punjab,Punjab District E,2015,Kharif,Sunflower,24480.49,24942.08,1.0188554232370348,1.0481813227415033,0
Uttarakhand,Uttarakhand District E,2015,Kharif,Arhar/Tur,30158.7,13244.32,0.4391542075752602,0.5502994578681539,0
Arunachal Pradesh,Arunachal Pradesh District B,2015,Kharif,Groundnut,29258.89,16532.27,0.5650340802402278,0.46783198696994605,0
Arunachal Pradesh,Arunachal Pradesh District A,2015,Kharif,Rapeseed &Mustard,5148.8,3368.19,0.6541699036668738,0.8213684866663475,0
Chhattisgarh,Chhattisgarh District E,2015,Rabi,Onion,7216.53,60212.37,8.343673482962034,0.7333928735677878,0
Himachal Pradesh,Himachal Pradesh District A,2015,Kharif,Rice,2572.23,2655.75,1.0324698802206647,0.5014978915562148,0
Assam,Assam District E,2015,Kharif,Dry chillies,74569.78,65721.38,0.8813406717842001,0.8167430049134766,0
Bihar,Bihar District B,1997,Rabi,Peas & beans (Pulses),4546.32,4121.51,0.9065595910538634,0.9244244627758009,0
Meghalaya,Meghalaya District D,2008,Kharif,Sugarcane,15423.9,739358.82,47.93591893100967,0.7809146959489278,0
Punjab,Punjab District B,2007,Kharif,Peas & beans (Pulses),6138.71,8811.53,1.4354041810087137,1.4636905858031777,0
Odisha,Odisha District A,2004,Kharif,Dry chillies,688.68,497.86,0.7229192077597724,0.6699330065638431,0
Uttarakhand,Uttarakhand District B,2014,Rabi,Wheat,13629.8,52070.62,3.8203509956125554,1.7003452129059475,0
Uttar Pradesh,Uttar Pradesh District A,1999,Kharif,Urad,7292.6,1484.77,0.20359953925897484,0.4006357930859104,0
Chhattisgarh,Chhattisgarh District E,2008,Kharif,Peas & beans (Pulses),33768.07,18456.73,0.5465734346084926,0.5573443363696757,0
Tripura,Tripura District E,2013,Kharif,Groundnut,47056.33,135659.25,2.882911820790104,2.386968171558719,1
Madhya Pradesh,Madhya Pradesh District D,2011,Kharif,Rice,8775.57,18541.35,2.1128371148540777,1.0262607932684453,0
Tripura,Tripura District E,2006,Summer,Gram,20036.53,22055.3,1.1007544719569706,1.2719386133871668,0
Karnataka,Karnataka District C,2014,Summer,Groundnut,35935.76,49761.04,1.3847220707173022,1.1465100962925812,0
Telangana,Telangana District A,2014,Winter,Potato,2221.22,28352.65,12.764449266619247,0.9294643850163655,0
Dadra and Nagar Haveli,Dadra And Nagar Haveli District E,1997,Winter,Small millets,73654.11,39197.52,0.532183743717764,0.845357799578842,0
Manipur,Manipur District D,2003,Kharif,Moong(Green Gram),3047.01,1077.91,0.3537599154581048,0.7514636834518584,0
Mizoram,Mizoram District B,2004,Kharif,Groundnut,34185.12,32577.06,0.9529602353304595,0.7890236996119787,0
Tripura,Tripura District A,2002,Kharif,Sunflower,95405.2,40283.65,0.4222374671401559,0.4343908043516641,0
Dadra and Nagar Haveli,Dadra And Nagar Haveli District E,2007,Winter,Wheat,20277.74,74159.92,3.6572083476758253,1.6277343923927028,0
Madhya Pradesh,Madhya Pradesh District A,1999,Winter,Jowar,8346.07,8770.0,1.050793966501599,1.0411531006705315,0
Kerala,Kerala District D,2004,Kharif,Wheat,15676.46,14516.55,0.926009443458536,0.4121442574513919,0
Bihar,Bihar District E,2012,Kharif,Gram,2081.5,2485.67,1.1941724717751623,1.379884539732491,0
Himachal Pradesh,Himachal Pradesh District A,1998,Kharif,Urad,20151.06,6579.46,0.3265068934338938,0.6424884293697567,0
Goa,Goa District A,2007,Rabi,Small millets,45654.75,47280.58,1.0356114095466518,1.6450374381547987,0
Punjab,Punjab District E,2012,Kharif,Small millets,19207.83,21258.5,1.1067621902109712,1.758058303768846,0
Sikkim,Sikkim District E,2006,Whole Year,Small millets,6996.63,5107.68,0.7300200239258043,1.1596147540382153,0
Andaman and Nicobar Islands,Andaman And Nicobar Islands District E,2000,Kharif,Small millets,35467.26,17314.8,0.4881910810138702,0.7754767838958436,0
Jharkhand,Jharkhand District C,2014,Whole Year,Sunflower,20677.86,16079.33,0.7776109326593758,0.7999930484578011,0
Dadra and Nagar Haveli,Dadra And Nagar Haveli District E,2010,Rabi,Moong(Green Gram),58465.07,49935.9,0.8541151152303419,1.8143279171461495,0
Goa,Goa District C,1998,Kharif,Maize,15087.34,43871.21,2.907816089516111,1.4056183966620222,0
Telangana,Telangana District C,2013,Winter,Wheat,15474.43,22920.66,1.4811957532523008,0.6592441666515894,0
Assam,Assam District C,2007,Kharif,Moong(Green Gram),19364.93,9625.81,0.4970743503849484,1.0558949897022745,0
Karnataka,Karnataka District D,2004,Rabi,Onion,51949.93,305256.4,5.875973268876398,0.5164867644291993,0
Sikkim,Sikkim District E,2014,Kharif,Maize,3313.91,8220.19,2.4805109372312466,1.199062010511747,0
Haryana,Haryana District A,2010,Kharif,Groundnut,2520.77,2360.55,0.9364400560146305,0.7753454657059139,0
Dadra and Nagar Haveli,Dadra And Nagar Haveli District E,2013,Kharif,Sugarcane,2307.59,161273.32,69.8882037103645,1.1385350811662531,0
Nagaland,Nagaland District B,2010,Kharif,Peas & beans (Pulses),1709.23,2090.56,1.2231004604412512,1.2472031593089832,0
Karnataka,Karnataka District D,2009,Whole Year,Maize,19115.17,42554.8,2.2262318357618587,1.0761452331403354,0
Himachal Pradesh,Himachal Pradesh District D,2006,Rabi,Small millets,6038.92,3061.53,0.5069664774496102,0.80530093392767,0
Uttarakhand,Uttarakhand District B,1999,Rabi,Urad,2373.3,1412.45,0.5951417856992374,1.1710984326388572,0
Andhra Pradesh,Andhra Pradesh District A,2008,Kharif,Groundnut,10391.36,16513.06,1.5891144181319865,1.315741088468857,0
Jammu and Kashmir,Jammu And Kashmir District E,1997,Kharif,Maize,11467.31,6872.86,0.599343699612202,0.2897186425014175,0
Assam,Assam District A,1999,Rabi,Bajra,29947.38,35766.58,1.1943141603706233,0.9882947730932857,0
Goa,Goa District A,2002,Rabi,Potato,20441.26,313945.7,15.358431916623537,1.1183495016531237,0
Kerala,Kerala District E,2002,Summer,Wheat,13953.61,29294.05,2.0993886169958884,0.9343867589752268,0
Chhattisgarh,Chhattisgarh District E,2007,Winter,Peas & beans (Pulses),19113.68,8532.57,0.4464116800113845,0.45520877120900455,0
Telangana,Telangana District E,2006,Autumn,Peas & beans (Pulses),28945.58,42918.73,1.482738642652868,1.511957831230819,0
Uttar Pradesh,Uttar Pradesh District A,2001,Whole Year,Sunflower,13228.11,11295.27,0.8538838881745011,0.8784613822153456,0
Haryana,Haryana District D,1999,Kharif,Bajra,32067.1,45081.54,1.405850232793112,1.1633408385531077,0
Mizoram,Mizoram District C,2001,Whole Year,Gram,18609.4,16069.01,0.8634888819628789,0.9977745984047501,0
Tripura,Tripura District B,2004,Kharif,Bajra,11927.99,15080.4,1.2642867742176176,1.0461970996496412,0
Tripura,Tripura District A,1997,Kharif,Potato,19707.06,400688.58,20.33223524970239,1.480525178770834,0
West Bengal,West Bengal District C,2003,Rabi,Dry chillies,3849.42,6282.5,1.6320640512077145,1.5124422826149069,0
Uttarakhand,Uttarakhand District E,2002,Rabi,Rice,37791.44,71872.13,1.9018097749119907,0.9237592403717596,0
Haryana,Haryana District B,2001,Whole Year,Sugarcane,2815.15,275277.24,97.78421753725378,1.5929835958002354,0
Andhra Pradesh,Andhra Pradesh District E,2011,Kharif,Peas & beans (Pulses),31927.4,29361.77,0.9196417497196765,0.937764421467908,0
Uttarakhand,Uttarakhand District B,2007,Rabi,Sesamum,5110.03,1602.98,0.313692874601519,0.8276678730953582,0
Gujarat,Gujarat District C,2008,Winter,Bajra,17724.86,15986.37,0.9019179841194797,0.7463369848913999,0
Mizoram,Mizoram District C,2008,Kharif,Rapeseed &Mustard,29921.77,25093.44,0.8386348802226605,1.0529806684363696,0
Arunachal Pradesh,Arunachal Pradesh District A,2010,Winter,Jowar,15084.11,9296.18,0.6162895921602268,0.6106352341599793,0
Gujarat,Gujarat District D,1997,Whole Year,Moong(Green Gram),22467.84,13688.8,0.6092619495242978,1.2942060668001547,0
Sikkim,Sikkim District B,2005,Kharif,Sesamum,19372.08,6742.03,0.3480281931522066,0.918260431542848,0
Maharashtra,Maharashtra District C,1998,Winter,Jowar,934.96,570.64,0.6103362710704201,0.6047365338347619,0
Sikkim,Sikkim District A,2013,Rabi,Jowar,25109.77,27547.86,1.0970972653274005,1.0870315741682988,0
Puducherry,Puducherry District A,2005,Kharif,Bajra,17538.67,25934.84,1.4787233011397103,1.2236432907352566,0
West Bengal,West Bengal District E,2013,Kharif,Rapeseed &Mustard,20901.1,23351.62,1.1172435900502844,1.4027986791403786,0
Goa,Goa District B,1998,Rabi,Small millets,12902.46,9235.75,0.71581310850799,1.137047498089158,0
Puducherry,Puducherry District C,2006,Kharif,Gram,18794.23,21831.58,1.1616107709653443,1.3422589968592145,0
Chhattisgarh,Chhattisgarh District B,2003,Rabi,Sugarcane,20158.58,1033875.28,51.2871085165721,0.8355082711767884,0
Himachal Pradesh,Himachal Pradesh District C,1997,Rabi,Bajra,2718.5,2245.05,0.8258414566856723,0.6833836708365889,0
Nagaland,Nagaland District C,2012,Kharif,Rice,3902.04,9890.36,2.5346639193857574,1.2311532139842152,0
Punjab,Punjab District E,2012,Kharif,Wheat,25845.28,83635.86,3.2360206583174955,1.4402740066433761,0
Punjab,Punjab District E,2007,Kharif,Potato,11376.96,198986.21,17.49027947711867,1.273583491022808,0
Chhattisgarh,Chhattisgarh District A,1998,Whole Year,Onion,74231.68,611758.95,8.241211164828817,0.7243866326019129,0
Telangana,Telangana District C,2010,Kharif,Small millets,16678.95,9629.07,0.5773187161062296,0.9170533396865086,0
Tamil Nadu,Tamil Nadu District C,2010,Autumn,Peas & beans (Pulses),29478.31,54672.53,1.8546697554914104,1.8912183040869792,0
Chhattisgarh,Chhattisgarh District E,2006,Rabi,Maize,1838.45,1994.89,1.0850934210884169,0.524526733405833,0
Jharkhand,Jharkhand District E,2002,Rabi,Potato,23039.59,248920.76,10.804044690031377,0.7867142987336289,0
Andaman and Nicobar Islands,Andaman And Nicobar Islands District A,2010,Kharif,Jowar,5194.89,5681.42,1.0936554960740266,1.0836213825948993,0
Meghalaya,Meghalaya District C,1998,Kharif,Rice,16629.34,27151.4,1.6327406860404563,0.7930652769573627,0
West Bengal,West Bengal District C,2007,Whole Year,Peas & beans (Pulses),4300.77,3298.14,0.7668719787386908,0.7819841342577659,0
Punjab,Punjab District A,2007,Rabi,Cotton(lint),2074.28,3704.93,1.7861281987002717,1.1229949069937784,0
Kerala,Kerala District D,2002,Rabi,Moong(Green Gram),9543.69,5169.24,0.541639554511934,1.1505612618933492,0
Rajasthan,Rajasthan District D,2012,Whole Year,Bajra,25568.43,39003.09,1.5254393797350871,1.2623008381605494,0
Dadra and Nagar Haveli,Dadra And Nagar Haveli District A,2014,Rabi,Arhar/Tur,29636.96,27359.82,0.9231655338469262,1.1568088931755636,0
Rajasthan,Rajasthan District B,2003,Kharif,Cotton(lint),8922.37,10266.24,1.1506180532750827,0.7234297149909373,0
Odisha,Odisha District E,2014,Rabi,Sesamum,46635.68,14088.94,0.30210645582952794,0.7970975052029166,0
Uttar Pradesh,Uttar Pradesh District D,2009,Kharif,Rice,18989.67,39775.11,2.094565624363141,1.0173858477302415,0
Puducherry,Puducherry District A,2000,Rabi,Peas & beans (Pulses),24680.23,34089.79,1.3812590077158926,1.4084784152773189,0
Chhattisgarh,Chhattisgarh District C,2003,Kharif,Small millets,12951.23,6658.13,0.5140924838799095,0.8166203798649311,0
Nagaland,Nagaland District D,2011,Kharif,Cotton(lint),18580.78,23710.29,1.2760653750811324,0.8023023869451209,0
Maharashtra,Maharashtra District D,2014,Kharif,Rapeseed &Mustard,550.89,406.55,0.7379876200330375,0.9266090831254647,0
Rajasthan,Rajasthan District A,2000,Kharif,Rice,38684.82,94351.09,2.4389693424966175,1.1846718303984674,0
Tripura,Tripura District D,2000,Kharif,Sesamum,45577.1,13099.95,0.2874239475526087,0.7583582115141465,0
Gujarat,Gujarat District B,2007,Kharif,Groundnut,5258.34,11081.4,2.1073951094832206,1.7448626125013866,0
Assam,Assam District A,1999,Whole Year,Maize,24483.6,33734.21,1.3778288323612542,0.6660330277423488,0
Uttarakhand,Uttarakhand District E,1998,Kharif,Onion,8069.32,92043.98,11.406658801485131,1.0026234000301117,0
Karnataka,Karnataka District C,1998,Kharif,Arhar/Tur,227.38,159.92,0.7033160348315595,0.8813178286842639,0
Maharashtra,Maharashtra District E,2012,Rabi,Rice,119219.79,274215.52,2.3000839038552243,1.1172115044549806,0
Uttar Pradesh,Uttar Pradesh District B,2004,Rabi,Peas & beans (Pulses),33198.01,34994.35,1.0541098698385836,1.0748824012764817,0
Mizoram,Mizoram District A,2012,Rabi,Jowar,6917.87,5949.83,0.8600667546513594,0.8521757803484127,0
Himachal Pradesh,Himachal Pradesh District C,2009,Whole Year,Moong(Green Gram),52913.89,21539.27,0.40706268240720916,0.8646904562982964,0
Sikkim,Sikkim District B,2000,Rabi,Peas & beans (Pulses),17804.88,15141.41,0.850407865708727,0.8671661986215717,0
Rajasthan,Rajasthan District B,2009,Rabi,Maize,8428.95,14441.84,1.71336168799198,0.828227313776984,0
Haryana,Haryana District D,2011,Winter,Wheat,4871.55,16326.99,3.351497983188102,1.4916701523819271,0
Rajasthan,Rajasthan District B,1997,Kharif,Urad,51402.82,17194.53,0.33450557770954975,0.6582279503435498,0
Uttarakhand,Uttarakhand District C,1999,Rabi,Sunflower,722.36,814.16,1.1270834486959411,1.1595244949874692,0
Arunachal Pradesh,Arunachal Pradesh District B,1998,Kharif,Wheat,13986.04,27683.79,1.9793873033396157,0.8809770959750992,0
Odisha,Odisha District E,2007,Kharif,Potato,37150.62,217827.73,5.8633672870062465,0.426950740741653,0
Arunachal Pradesh,Arunachal Pradesh District D,2002,Kharif,Onion,890.73,8812.87,9.89398583184579,0.8696623513700099,0
Goa,Goa District D,2012,Rabi,Gram,5794.52,7530.51,1.2995916831765184,1.5016980494571655,0
Puducherry,Puducherry District C,2008,Kharif,Onion,5228.26,48735.46,9.321544835184172,0.819345887243392,0
Puducherry,Puducherry District A,2008,Kharif,Groundnut,5694.99,6954.02,1.2210767709864285,1.0110164890771762,0
Nagaland,Nagaland District C,2009,Kharif,Urad,28621.56,19624.19,0.6856436197048658,1.3491846609993963,0
Jammu and Kashmir,Jammu And Kashmir District C,2009,Rabi,Maize,59699.94,83526.25,1.3991010711233545,0.676315882373355,0
Jharkhand,Jharkhand District D,1997,Rabi,Urad,9980.25,3531.88,0.3538869266801934,0.6963658662945866,0
Andaman and Nicobar Islands,Andaman And Nicobar Islands District A,2009,Kharif,Cotton(lint),3659.71,4439.06,1.2129540318768428,0.7626223029267806,0
Odisha,Odisha District D,2013,Summer,Onion,56737.36,600024.13,10.57546791038568,0.9295633171599476,0
Madhya Pradesh,Madhya Pradesh District A,2014,Winter,Bajra,31401.69,36188.56,1.1524398846049368,0.9536438167205904,0
Arunachal Pradesh,Arunachal Pradesh District B,1999,Kharif,Dry chillies,14533.36,19500.57,1.3417798774681147,1.2434344222844145,0
Kerala,Kerala District E,2009,Rabi,Moong(Green Gram),93202.57,47119.61,0.505561273685908,1.0739230770186503,0
West Bengal,West Bengal District D,2014,Kharif,Moong(Green Gram),6584.0,5869.25,0.8914413730255164,1.8936170789380182,0
Uttar Pradesh,Uttar Pradesh District D,2006,Kharif,Arhar/Tur,7549.47,8695.52,1.1518053585218566,1.4433150210808083,0
Bihar,Bihar District E,2000,Rabi,Sesamum,17672.1,8756.23,0.4954832758981672,1.3073156017263605,0
Tamil Nadu,Tamil Nadu District D,1998,Rabi,Potato,22865.39,215936.36,9.44380830591562,0.6876664473276675,0
Maharashtra,Maharashtra District E,2011,Kharif,Bajra,13092.88,8105.53,0.6190792247389421,0.5122879575925602,0
Gujarat,Gujarat District B,2001,Whole Year,Peas & beans (Pulses),14469.24,20937.37,1.4470262432581116,1.4755416750832075,0
Bihar,Bihar District B,2003,Kharif,Potato,48895.79,991760.21,20.283141145689637,1.4769503107729272,0
Kerala,Kerala District D,2009,Kharif,Jowar,53891.63,77848.08,1.4445300689550493,1.431276737638251,0
Tamil Nadu,Tamil Nadu District A,2001,Kharif,Jowar,74294.83,68582.15,0.9231079740003442,0.9146386066375345,0
Mizoram,Mizoram District A,2007,Rabi,Rice,19163.07,50489.78,2.6347438067073803,1.2797646586766749,0
Jammu and Kashmir,Jammu And Kashmir District D,2014,Autumn,Groundnut,19037.85,18300.15,0.9612508765433073,0.7958881123748558,0
Odisha,Odisha District C,2002,Kharif,Rice,2826.1,3448.82,1.2203460599412619,0.5927543144393491,0
Meghalaya,Meghalaya District C,1998,Kharif,Cotton(lint),15262.31,7301.83,0.47842233580630983,0.30079915142345903,0
Kerala,Kerala District D,2009,Kharif,Urad,5736.58,3263.32,0.5688615865201915,1.1193852093237477,0
Chhattisgarh,Chhattisgarh District E,2011,Kharif,Potato,27190.56,223613.41,8.223935439358366,0.5988393965062971,0
Assam,Assam District B,2014,Rabi,Bajra,50089.68,61872.47,1.2352338845047524,1.0221558381464115,0
Gujarat,Gujarat District E,2012,Rabi,Potato,186143.07,3280449.91,17.623271766174266,1.283267543470119,0
Tamil Nadu,Tamil Nadu District A,2012,Rabi,Peas & beans (Pulses),8616.02,12384.48,1.4373782790662044,1.46570358589084,0
Andaman and Nicobar Islands,Andaman And Nicobar Islands District A,2009,Whole Year,Cotton(lint),244.38,331.75,1.3575169817497341,0.8535135707346501,0
Puducherry,Puducherry District E,1997,Kharif,Small millets,14793.54,12722.49,0.8600030824265186,1.366088915667185,0
Haryana,Haryana District A,1999,Rabi,Bajra,18401.45,19219.65,1.044463887356703,0.8642936965923577,0
Arunachal Pradesh,Arunachal Pradesh District A,2008,Kharif,Rapeseed &Mustard,21797.78,21569.73,0.9895379254217632,1.2424528608649112,0
Maharashtra,Maharashtra District D,2007,Kharif,Jowar,289.79,309.93,1.069498602436247,1.059686124575406,0
Tripura,Tripura District D,2007,Kharif,Wheat,68218.22,106111.87,1.5554769678833602,0.692304926736674,0
Bihar,Bihar District C,2011,Rabi,Bajra,9424.02,13422.23,1.4242573763638022,1.178572746858411,0
Rajasthan,Rajasthan District E,2000,Whole Year,Jowar,3387.56,2364.17,0.6978976018136949,0.6914945034353227,0
Rajasthan,Rajasthan District B,2006,Winter,Sesamum,16619.21,4362.8,0.262515486596535,0.692638092981711,0
Nagaland,Nagaland District E,2006,Kharif,Peas & beans (Pulses),23108.21,19587.49,0.8476420285257924,0.8643458572152364,0
Telangana,Telangana District B,2006,Winter,Rapeseed &Mustard,20434.16,14595.71,0.714279911677309,0.8968419470568081,0
Nagaland,Nagaland District C,2000,Kharif,Dry chillies,41556.51,36852.62,0.8868073858945326,0.8218090374391708,0
Rajasthan,Rajasthan District C,2008,Whole Year,Small millets,5013.94,2643.22,0.5271742382238319,0.8374003514393242,0
Puducherry,Puducherry District C,2006,Kharif,Peas & beans (Pulses),22664.4,35624.4,1.57182188807116,1.6027965715638157,0
Uttar Pradesh,Uttar Pradesh District B,2003,Rabi,Jowar,118584.67,102463.07,0.8640498809837731,0.8561223621366216,0
Arunachal Pradesh,Arunachal Pradesh District B,2003,Rabi,Wheat,2338.77,4119.69,1.7614771867263561,0.7839906085940561,0
Tamil Nadu,Tamil Nadu District D,2009,Rabi,Potato,27786.48,340590.74,12.257426633384293,0.8925446973631339,0
Andhra Pradesh,Andhra Pradesh District B,1999,Rabi,Onion,5378.05,33652.62,6.257401846394139,0.5500136037881267,0
Jharkhand,Jharkhand District D,2000,Summer,Arhar/Tur,5707.78,2853.17,0.4998738563854949,0.6263866027613075,0
Tripura,Tripura District D,2013,Kharif,Bajra,39773.57,45616.47,1.146904087312253,0.9490629453629522,0
Himachal Pradesh,Himachal Pradesh District D,2004,Rabi,Sugarcane,46234.27,1793068.92,38.782247886686655,0.6317940281949229,0
Puducherry,Puducherry District A,2012,Rabi,Sesamum,30938.88,13887.39,0.4488653112200571,1.1843157034271752,0
Sikkim,Sikkim District B,2005,Rabi,Onion,12745.19,89753.69,7.042161788094175,0.6189924953853996,0
Odisha,Odisha District C,2007,Rabi,Rice,12500.18,28875.66,2.3100195357186855,1.1220375032819292,0
Assam,Assam District B,2010,Whole Year,Rapeseed &Mustard,6055.87,4839.98,0.7992212514469431,1.0034933526181449,0
Uttar Pradesh,Uttar Pradesh District B,1998,Kharif,Gram,92939.76,79905.11,0.8597516283665894,0.9934561447638672,0
Gujarat,Gujarat District E,1999,Summer,Maize,4056.55,10691.53,2.6356214024232414,1.2740413478139745,0
Haryana,Haryana District D,2011,Summer,Sunflower,84504.45,33207.41,0.39296640591116805,0.40427722888521633,0
Mizoram,Mizoram District E,2007,Rabi,Moong(Green Gram),12312.78,5645.29,0.45849028407881887,0.9739339666411735,0
Tripura,Tripura District B,2007,Rabi,Arhar/Tur,102982.45,79269.31,0.7697361055208921,0.9645481114901967,0
West Bengal,West Bengal District D,1997,Rabi,Cotton(lint),6598.26,8739.26,1.324479483985172,0.8327418580678777,0
Manipur,Manipur District D,2000,Rabi,Cotton(lint),32312.63,27933.18,0.8644663093038233,0.5435171245391717,0
Meghalaya,Meghalaya District D,2010,Kharif,Rice,377.31,1030.72,2.7317590310354882,1.326887515605926,0
Jharkhand,Jharkhand District E,2006,Rabi,Cotton(lint),24220.5,17708.58,0.7311401498730415,0.45969077986874995,0
Himachal Pradesh,Himachal Pradesh District E,2000,Kharif,Small millets,19949.59,10667.2,0.5347077308355711,0.84936707686561,0
Odisha,Odisha District E,2000,Whole Year,Rapeseed &Mustard,33524.0,13662.13,0.40753281231356636,0.5116936860600869,0
Sikkim,Sikkim District B,2009,Kharif,Small millets,26974.26,5395.42,0.20002105711148332,0.31772740656819376,0
Dadra and Nagar Haveli,Dadra And Nagar Haveli District E,1997,Whole Year,Bajra,15573.15,20280.01,1.3022419998523098,1.0776050426775479,0
Goa,Goa District A,2009,Kharif,Sunflower,18047.37,24578.39,1.3618820914072245,1.4010813894024732,0
Tripura,Tripura District C,1997,Kharif,Onion,404.56,2809.63,6.944903104607475,0.6104436439104005,0
Karnataka,Karnataka District D,2011,Winter,Moong(Green Gram),5220.18,1956.27,0.3747514453524591,0.7960542989693743,0
Assam,Assam District B,2002,Kharif,Rapeseed &Mustard,86041.38,27550.37,0.3201990716559869,0.40203840843766003,0
Maharashtra,Maharashtra District C,2013,Kharif,Wheat,37350.71,109798.84,2.9396720972640145,1.3083764774065219,0
